hypothesis,metric,a,b,n_pairs,mean_a,std_a,mean_b,std_b,mean_diff,a_better_in,W,p,lower_is_better,a12_a_better,p_holm
H0 EA vs random,best_fitness,tournament_k2,random,10,13.29359157481299,0.41908484875674756,14.26620223265007,0.25922942138348026,-0.9726106578369998,10,0.0,0.001953125,True,0.97,0.005859375
H0 EA vs random,best_fitness,lexicase,random,10,13.042036972815339,0.3370570653229699,14.26620223265007,0.25922942138348026,-1.2241652598347001,10,0.0,0.001953125,True,1.0,0.005859375
H0 EA vs random,best_fitness,tournament_k40,random,10,12.686465670539254,0.3099426411407839,14.26620223265007,0.25922942138348026,-1.5797365621108,10,0.0,0.001953125,True,1.0,0.005859375
H1 diversity,diversity,lexicase,tournament_k2,10,7.507894736842106,0.7248448959017401,6.2650000000000015,0.7357228864113254,1.2428947368422,8,3.0,0.009765625,False,0.88,0.009765625
H1 diversity,diversity,lexicase,tournament_k40,10,7.507894736842106,0.7248448959017401,5.395263157894737,1.18668409627504,2.1126315789473,10,0.0,0.001953125,False,0.93,0.00390625
H2 specialists,closest_7,lexicase,tournament_k2,10,2.05,0.5986094998689323,4.45,0.864420165325996,-2.4,10,0.0,0.001953125,True,1.0,0.01953125
H2 specialists,closest_11,lexicase,tournament_k2,10,3.9,0.8432740427115678,6.35,0.3374742788552764,-2.45,10,0.0,0.001953125,True,1.0,0.01953125
H2 specialists,closest_15,lexicase,tournament_k2,10,5.65,0.7835106182362106,8.4,0.6992058987801011,-2.75,10,0.0,0.001953125,True,0.99,0.01953125
H2 specialists,closest_19,lexicase,tournament_k2,10,8.85,1.248332220738267,11.55,0.83166499665831,-2.7,10,0.0,0.001953125,True,0.98,0.01953125
H2 specialists,closest_25,lexicase,tournament_k2,10,10.8,1.456784892227477,14.05,0.864420165325996,-3.25,10,0.0,0.001953125,True,0.95,0.01953125
H2 specialists,closest_7,lexicase,tournament_k40,10,2.05,0.5986094998689323,5.15,1.2920698295542872,-3.1,10,0.0,0.001953125,True,0.99,0.01953125
H2 specialists,closest_11,lexicase,tournament_k40,10,3.9,0.8432740427115678,7.15,0.6258327785172862,-3.25,10,0.0,0.001953125,True,1.0,0.01953125
H2 specialists,closest_15,lexicase,tournament_k40,10,5.65,0.7835106182362106,8.95,0.5502524673073059,-3.3,10,0.0,0.001953125,True,1.0,0.01953125
H2 specialists,closest_19,lexicase,tournament_k40,10,8.85,1.248332220738267,10.9,0.7745966692414834,-2.05,10,0.0,0.001953125,True,0.92,0.01953125
H2 specialists,closest_25,lexicase,tournament_k40,10,10.8,1.456784892227477,12.65,0.5296749527356901,-1.85,7,1.0,0.015625,True,0.86,0.01953125
H3 combined fitness,best_fitness,lexicase,tournament_k2,10,13.042036972815339,0.3370570653229699,13.29359157481299,0.41908484875674756,-0.2515546019976,8,12.0,0.130859375,True,0.71,0.130859375
H3 combined fitness,best_fitness,lexicase,tournament_k40,10,13.042036972815339,0.3370570653229699,12.686465670539254,0.3099426411407839,0.35557130227609995,1,1.0,0.00390625,True,0.19,0.0078125
H4 control diversity,diversity,tournament_k40,tournament_k2,10,5.395263157894737,1.18668409627504,6.2650000000000015,0.7357228864113254,-0.8697368421052,1,8.0,0.048828125,False,0.26,0.048828125
