generation,evaluations,population_size,best_fitness,mean_fitness,std_fitness,best_size,mean_size,diversity,distinct_parents,parent_picks,closest_7,closest_11,closest_15,closest_19,closest_25,best_dist_7,best_dist_11,best_dist_15,best_dist_19,best_dist_25
0,100,100,15.58656334834051,17.816451368609286,1.370373147760369,10,11.18,9.93157894736842,,,3.5,6.5,8.5,11.0,16.0,8.5,9.0,9.5,11.0,19.5
1,200,100,14.891164991562635,16.83189436300911,0.9777653154868065,9,8.45,7.11578947368421,8,100,3.5,5.5,7.5,10.0,15.0,7.5,8.5,11.5,13.0,17.0
2,300,100,14.846536616149585,16.85026156400378,1.0548551780081332,9,7.58,7.218421052631579,6,102,3.0,6.0,6.5,9.5,14.0,9.5,10.0,9.5,11.0,18.0
3,400,100,14.743835071544513,16.302320979491498,1.0229558102899778,8,8.31,6.3578947368421055,8,100,2.5,6.0,6.5,10.0,13.5,8.5,9.5,9.5,11.0,18.0
4,500,100,14.743835071544513,16.256922369404027,0.9912340850064643,8,8.93,6.981578947368421,7,100,2.0,6.0,6.5,10.5,13.0,8.5,9.5,9.5,11.0,18.0
5,600,100,14.669313659514948,16.31976982300516,1.0078516852134696,8,9.1,6.881578947368421,8,102,1.5,5.5,6.5,9.5,13.0,8.0,8.5,9.0,12.5,17.5
6,700,100,14.20998338865848,16.33671972840243,1.0863246208437949,11,10.07,8.407894736842104,7,100,2.0,6.0,6.5,9.5,12.5,7.5,8.5,12.0,12.0,16.0
7,800,100,13.969817807045693,16.092924212298634,0.981160241166057,11,10.4,7.0131578947368425,7,100,2.0,6.0,6.0,9.0,12.0,8.5,10.5,11.0,11.5,16.0
8,900,100,13.969817807045693,16.361625906217768,0.9370726868958992,11,8.8,7.326315789473684,8,100,1.0,6.0,6.0,9.0,11.5,8.5,10.5,11.0,11.5,16.0
9,1000,100,13.969817807045693,16.152925833785595,0.9511090160758296,11,9.41,7.9447368421052635,7,102,2.0,6.0,6.5,8.5,11.5,8.5,10.5,11.0,11.5,16.0
10,1100,100,13.969817807045693,16.461481650878476,0.9263643849429664,11,9.3,7.55,5,100,2.0,5.5,6.0,8.5,10.0,8.5,10.5,11.0,11.5,16.0
11,1200,100,13.969817807045693,16.564063307504938,1.1066235048960027,11,9.16,8.097368421052632,9,102,2.0,5.5,6.5,8.5,10.0,8.5,10.5,11.0,11.5,16.0
12,1300,100,13.969817807045693,16.51343134769252,1.1244672249501142,11,8.75,6.510526315789473,8,100,2.5,5.5,6.5,8.5,10.0,8.5,10.5,11.0,11.5,16.0
13,1400,100,13.74131112314674,16.279117318714963,1.0183135062784823,11,8.67,5.192105263157894,9,102,3.5,5.5,6.0,8.5,10.0,10.5,10.0,8.0,13.0,15.0
14,1500,100,13.74131112314674,16.59732213439842,1.2782131302745101,11,8.88,7.434210526315789,6,104,2.5,6.0,6.0,9.0,11.0,10.5,10.0,8.0,13.0,15.0
15,1600,100,13.74131112314674,16.56737300999189,1.1298703022792704,11,8.25,6.947368421052632,8,100,2.5,5.0,6.5,9.0,11.5,10.5,10.0,8.0,13.0,15.0
16,1700,100,13.74131112314674,16.556580040878377,1.1147180066639866,11,9.43,7.9526315789473685,6,102,3.0,5.0,7.0,8.5,11.0,10.5,10.0,8.0,13.0,15.0
17,1800,100,13.74131112314674,16.645604960405475,1.092530524430691,11,8.2,8.486842105263158,8,100,3.0,5.5,7.0,7.5,11.0,10.5,10.0,8.0,13.0,15.0
18,1900,100,13.74131112314674,16.532204978510475,1.1468197916146738,11,8.09,6.328947368421052,5,100,2.5,6.0,7.5,8.0,11.0,10.5,10.0,8.0,13.0,15.0
19,2000,100,13.74131112314674,16.54676372168457,1.1427436588430793,11,9.22,7.3052631578947365,8,100,3.0,6.0,7.0,8.0,10.5,10.5,10.0,8.0,13.0,15.0
20,2100,100,13.74131112314674,16.500672903247057,1.2007570409214678,11,8.61,7.686842105263158,7,104,2.0,5.5,7.0,8.5,10.5,10.5,10.0,8.0,13.0,15.0
21,2200,100,13.74131112314674,16.652528299200544,1.2631694151343178,11,8.02,5.868421052631579,7,100,2.5,6.0,7.0,8.5,11.0,10.5,10.0,8.0,13.0,15.0
22,2300,100,13.74131112314674,16.387189515029895,0.9897193977889884,11,8.71,7.273684210526316,6,100,2.0,5.5,7.0,9.5,11.0,10.5,10.0,8.0,13.0,15.0
23,2400,100,13.74131112314674,16.33321135002442,1.0566623837499687,11,8.56,5.755263157894737,5,100,2.0,5.0,6.5,9.5,11.5,10.5,10.0,8.0,13.0,15.0
24,2500,100,13.74131112314674,16.462884251113376,1.1214886812125655,11,9.02,6.507894736842105,8,100,2.5,5.5,6.5,9.5,11.0,10.5,10.0,8.0,13.0,15.0
25,2600,100,13.74131112314674,16.606048717933874,1.1032355148397053,11,8.23,6.192105263157894,10,100,2.5,5.0,6.5,9.5,11.0,10.5,10.0,8.0,13.0,15.0
26,2700,100,13.74131112314674,16.64880303274632,1.085070683596309,11,8.73,8.305263157894737,10,102,3.0,5.5,6.0,9.5,11.0,10.5,10.0,8.0,13.0,15.0
27,2800,100,13.74131112314674,16.55744671212152,0.9812384668215305,11,8.21,6.121052631578947,11,102,3.0,5.5,6.0,9.0,11.0,10.5,10.0,8.0,13.0,15.0
28,2900,100,13.74131112314674,16.764779734555376,1.0183758057882395,11,9.66,7.910526315789474,5,100,2.5,5.5,5.0,8.5,11.5,10.5,10.0,8.0,13.0,15.0
29,3000,100,13.74131112314674,16.503579464069027,1.035438564085578,11,9.21,7.36578947368421,8,100,2.0,5.5,6.0,8.0,11.5,10.5,10.0,8.0,13.0,15.0
30,3100,100,13.74131112314674,16.392999810856374,1.098486994561437,11,9.63,7.276315789473684,12,100,2.5,5.5,5.0,7.5,11.0,10.5,10.0,8.0,13.0,15.0
31,3200,100,13.74131112314674,16.602123872372207,1.0732550170541597,11,9.84,9.113157894736842,8,100,3.0,5.0,6.0,7.5,11.0,10.5,10.0,8.0,13.0,15.0
