generation,evaluations,population_size,best_fitness,mean_fitness,std_fitness,best_size,mean_size,diversity,distinct_parents,parent_picks,closest_7,closest_11,closest_15,closest_19,closest_25,best_dist_7,best_dist_11,best_dist_15,best_dist_19,best_dist_25
0,100,100,15.222649545167231,18.25586574985166,1.4682964263848257,11,12.79,13.35,,,3.0,7.0,8.0,12.5,17.0,9.0,9.0,11.0,12.5,18.0
1,200,100,14.664582518894846,16.502158971498655,1.0908355409012813,12,8.6,6.934210526315789,5,100,3.0,6.0,7.5,12.0,16.5,9.5,10.0,11.5,12.0,17.0
2,300,100,14.292848008753788,16.06121473673811,1.2008590675476734,10,7.74,4.655263157894737,12,100,2.5,5.0,7.5,11.0,15.5,10.0,10.0,8.0,14.0,15.5
3,400,100,13.780350850198277,16.030399139465494,1.1240788247190787,11,7.58,3.836842105263158,11,100,2.5,5.0,7.5,10.5,14.5,9.5,11.5,8.5,13.5,14.5
4,500,100,13.780350850198277,15.824141033550177,1.380688199582209,11,7.98,5.328947368421052,8,100,2.5,4.5,7.5,10.5,14.5,9.5,11.5,8.5,13.5,14.5
5,600,100,13.780350850198277,15.848795241195685,1.1187177217163489,11,7.85,5.45,10,100,2.5,4.0,7.0,10.5,14.5,9.5,11.5,8.5,13.5,14.5
6,700,100,13.780350850198277,16.02107090808843,1.3013418362192504,11,7.81,4.994736842105263,8,100,2.0,4.5,7.0,10.0,14.5,9.5,11.5,8.5,13.5,14.5
7,800,100,13.780350850198277,16.00335404509208,1.322086377618504,11,7.88,5.873684210526315,9,100,2.5,4.0,7.0,10.0,14.5,9.5,11.5,8.5,13.5,14.5
8,900,100,13.780350850198277,15.913219835994118,1.168744404247272,11,7.82,4.489473684210527,10,100,2.5,3.5,7.0,9.5,14.5,9.5,11.5,8.5,13.5,14.5
9,1000,100,13.780350850198277,15.989830136005015,1.232438923222471,11,7.6,4.923684210526316,7,100,2.5,3.5,7.0,9.5,14.5,9.5,11.5,8.5,13.5,14.5
10,1100,100,13.408304597359457,15.922674740458113,1.3398479838138588,13,7.83,5.0394736842105265,7,100,2.5,3.5,7.0,9.5,14.0,11.5,12.0,10.5,13.0,14.0
11,1200,100,13.4,15.815400780299512,1.456732201132352,14,8.48,6.431578947368421,8,100,3.0,4.0,7.0,8.5,13.5,12.5,12.5,11.5,12.5,14.0
12,1300,100,13.4,16.27492223348958,1.4972641828759221,14,8.05,7.026315789473684,9,100,3.0,4.0,6.5,9.0,13.5,12.5,12.5,11.5,12.5,14.0
13,1400,100,13.4,16.12338610807821,1.4637790144268163,14,9.05,6.684210526315789,10,100,3.0,4.0,5.5,9.0,13.0,12.5,12.5,11.5,12.5,14.0
14,1500,100,13.394427190999917,16.19530379954772,1.509094376658828,14,8.63,6.7105263157894735,9,100,3.0,4.0,5.5,9.0,12.5,11.5,12.5,11.5,13.5,13.5
15,1600,100,13.268438714135812,16.180803315110698,1.4074554291276897,13,8.81,5.663157894736842,6,100,3.0,4.0,5.5,8.5,12.5,11.5,11.5,9.0,13.5,13.0
16,1700,100,13.268438714135812,16.40698294042231,1.4899610829878203,13,8.31,6.189473684210526,9,100,2.5,4.0,6.0,7.5,12.5,11.5,11.5,9.0,13.5,13.0
17,1800,100,13.268438714135812,16.3284070597078,1.3633272298974344,13,8.96,6.752631578947368,6,100,2.5,3.0,6.0,7.5,12.5,11.5,11.5,9.0,13.5,13.0
18,1900,100,13.268438714135812,16.471157192895582,1.2927758725826604,13,8.61,6.718421052631579,9,100,2.5,3.0,6.5,7.5,12.5,11.5,11.5,9.0,13.5,13.0
19,2000,100,13.268438714135812,16.330081819802913,1.3163880018643743,13,9.15,6.744736842105263,9,100,2.5,3.0,7.0,7.5,12.5,11.5,11.5,9.0,13.5,13.0
20,2100,100,13.268438714135812,16.383761833833557,1.2671812228442672,13,8.66,6.252631578947368,9,100,2.5,3.0,7.0,7.5,12.5,11.5,11.5,9.0,13.5,13.0
21,2200,100,13.268438714135812,16.532599396001626,1.2029311003964018,13,9.13,6.58421052631579,8,100,2.0,3.5,7.0,7.5,13.0,11.5,11.5,9.0,13.5,13.0
22,2300,100,13.200000000000001,16.169566260433616,1.4978436417546246,13,9.21,7.0552631578947365,16,100,2.5,3.5,6.0,7.5,13.0,11.5,11.5,9.5,13.0,13.5
23,2400,100,12.86619037896906,16.282560412221823,1.5374290086442293,13,8.93,6.7631578947368425,9,100,2.5,2.5,6.0,7.5,13.0,11.0,11.5,10.0,13.0,13.0
24,2500,100,12.86619037896906,16.298601518500337,1.4269815636440075,13,9.29,6.734210526315789,7,100,2.0,2.0,6.0,7.0,13.0,11.0,11.5,10.0,13.0,13.0
25,2600,100,12.86619037896906,16.023195786620953,1.6670520805556162,13,9.72,7.139473684210526,5,100,2.0,2.0,6.0,7.0,13.0,11.0,11.5,10.0,13.0,13.0
26,2700,100,12.86619037896906,15.924001300697036,1.5563006448844072,13,9.59,6.910526315789474,10,100,2.0,2.0,5.5,7.5,13.0,11.0,11.5,10.0,13.0,13.0
27,2800,100,12.86619037896906,16.0068985233685,1.3045424515411832,13,9.58,6.331578947368421,7,100,2.5,2.0,5.5,7.5,13.0,11.0,11.5,10.0,13.0,13.0
28,2900,100,12.86619037896906,15.837915967911135,1.5083215331234892,13,9.57,7.136842105263158,5,100,2.0,2.0,5.0,7.5,13.0,11.0,11.5,10.0,13.0,13.0
29,3000,100,12.86619037896906,15.926441789839668,1.43326087914559,13,9.38,6.657894736842105,10,100,2.0,2.5,5.5,7.5,13.0,11.0,11.5,10.0,13.0,13.0
30,3100,100,12.86619037896906,15.751065736105268,1.573251583001987,13,9.75,7.05,10,100,2.0,2.5,5.5,7.5,12.0,11.0,11.5,10.0,13.0,13.0
31,3200,100,12.86619037896906,16.03363625394426,1.5896088912751485,13,9.03,6.7105263157894735,5,100,2.0,3.0,5.0,7.5,12.0,11.0,11.5,10.0,13.0,13.0
32,3300,100,12.86619037896906,15.968008889885294,1.495423757982727,13,9.53,7.394736842105263,7,100,2.5,2.0,6.0,8.0,12.5,11.0,11.5,10.0,13.0,13.0
33,3400,100,12.86619037896906,15.835658582537427,1.3780378945078873,13,9.8,6.71578947368421,15,100,2.0,2.5,5.5,7.5,12.5,11.0,11.5,10.0,13.0,13.0
34,3500,100,12.86619037896906,15.81460070481317,1.3030289141145426,13,10.01,6.9447368421052635,10,100,1.0,3.0,5.5,8.0,12.5,11.0,11.5,10.0,13.0,13.0
35,3600,100,12.86619037896906,15.920542705146081,1.3633909928821109,13,9.27,7.481578947368421,8,100,1.0,2.5,5.0,8.0,12.5,11.0,11.5,10.0,13.0,13.0
36,3700,100,12.86619037896906,15.917359167936791,1.3986881127355062,13,9.33,6.963157894736842,7,100,1.0,2.0,5.0,8.0,12.5,11.0,11.5,10.0,13.0,13.0
37,3800,100,12.86619037896906,15.710048607571334,1.2206714438825863,13,10.22,6.773684210526316,6,100,1.5,2.0,5.5,8.0,12.5,11.0,11.5,10.0,13.0,13.0
38,3900,100,12.86619037896906,15.800287088705732,1.3826981896134443,13,9.91,7.492105263157895,11,100,1.5,2.5,5.5,8.0,12.5,11.0,11.5,10.0,13.0,13.0
39,4000,100,12.86619037896906,15.919183773816378,1.3167274955098067,13,9.49,6.573684210526316,9,100,2.0,2.5,5.5,8.0,11.5,11.0,11.5,10.0,13.0,13.0
40,4100,100,12.86619037896906,16.254598484122408,1.3767330008757117,13,8.89,6.742105263157895,7,100,2.0,2.5,6.0,8.5,11.0,11.0,11.5,10.0,13.0,13.0
41,4200,100,12.86619037896906,15.936252119893393,1.3046307113000393,13,9.72,6.4526315789473685,8,100,1.0,2.5,6.5,8.5,11.0,11.0,11.5,10.0,13.0,13.0
42,4300,100,12.86619037896906,16.12273961610261,1.3518008891703115,13,9.33,7.889473684210526,7,100,1.5,2.5,6.0,8.5,11.5,11.0,11.5,10.0,13.0,13.0
43,4400,100,12.86619037896906,16.14900525091604,1.3431659301831,13,8.78,7.065789473684211,7,100,2.5,2.5,5.5,8.5,12.0,11.0,11.5,10.0,13.0,13.0
