generation,evaluations,population_size,best_fitness,mean_fitness,std_fitness,best_size,mean_size,diversity,distinct_parents,parent_picks,closest_7,closest_11,closest_15,closest_19,closest_25,best_dist_7,best_dist_11,best_dist_15,best_dist_19,best_dist_25
0,100,100,15.288854381999831,18.204994947015745,1.4212749887991925,15,11.58,13.131578947368421,,,4.0,7.0,9.5,12.5,15.0,11.0,13.0,12.5,16.0,15.0
1,200,100,14.793237062523877,18.145323025251514,1.5124353570193758,10,10.85,11.176315789473684,,,3.5,6.0,8.5,12.5,16.5,7.5,7.0,11.0,13.0,17.0
2,300,100,14.793237062523877,18.061768343965557,1.5361254979341725,10,12.06,12.9,,,3.0,6.5,9.0,12.0,15.5,7.5,7.0,11.0,13.0,17.0
3,400,100,14.793237062523877,18.24754700778249,1.6267716758282122,10,12.25,13.786842105263158,,,3.5,7.0,8.5,11.5,17.0,7.5,7.0,11.0,13.0,17.0
4,500,100,14.793237062523877,18.02967782230463,1.5916413666018512,10,11.73,10.186842105263159,,,2.5,5.5,9.5,10.5,15.5,7.5,7.0,11.0,13.0,17.0
5,600,100,14.793237062523877,18.06055894827554,1.4222629865948517,10,11.54,12.686842105263159,,,3.5,6.5,8.0,11.5,16.0,7.5,7.0,11.0,13.0,17.0
6,700,100,14.793237062523877,18.055696727345055,1.2272049564304095,10,11.54,12.976315789473684,,,3.0,5.0,9.5,12.5,16.5,7.5,7.0,11.0,13.0,17.0
7,800,100,14.793237062523877,18.150869386658428,1.3865336824264627,10,11.47,10.744736842105263,,,2.5,6.5,9.0,13.0,15.5,7.5,7.0,11.0,13.0,17.0
8,900,100,14.453068523537421,18.213763868606808,1.627856126022572,11,11.92,12.057894736842105,,,3.0,6.5,9.0,13.0,15.0,9.0,9.0,10.5,13.0,16.5
9,1000,100,14.453068523537421,18.15593033066338,1.4954777699966633,11,11.25,11.297368421052632,,,3.5,6.0,9.5,12.0,17.5,9.0,9.0,10.5,13.0,16.5
10,1100,100,14.453068523537421,18.035876071964477,1.5254373989371153,11,10.44,10.971052631578948,,,2.5,6.5,8.5,12.0,17.0,9.0,9.0,10.5,13.0,16.5
11,1200,100,14.453068523537421,18.069275970590002,1.4628627317645744,11,11.39,10.936842105263159,,,3.0,7.0,8.5,13.0,16.5,9.0,9.0,10.5,13.0,16.5
12,1300,100,14.453068523537421,18.057308278044488,1.5503610119826519,11,11.51,12.342105263157896,,,3.0,5.5,9.0,13.0,16.5,9.0,9.0,10.5,13.0,16.5
13,1400,100,14.453068523537421,18.287293753044413,1.4878699394640942,11,12.11,12.00263157894737,,,4.0,7.0,8.0,13.5,16.5,9.0,9.0,10.5,13.0,16.5
14,1500,100,14.453068523537421,18.295954361506265,1.440327495881358,11,11.7,13.560526315789474,,,3.0,6.5,9.0,13.5,17.5,9.0,9.0,10.5,13.0,16.5
15,1600,100,14.453068523537421,18.094040305107455,1.512518052131833,11,10.71,10.378947368421052,,,4.0,6.5,9.0,12.0,15.5,9.0,9.0,10.5,13.0,16.5
16,1700,100,14.453068523537421,18.044393569272355,1.4361691548616689,11,11.18,10.078947368421053,,,3.0,6.5,9.5,11.5,16.0,9.0,9.0,10.5,13.0,16.5
17,1800,100,14.453068523537421,18.40936104901043,1.50502467007555,11,10.99,12.91578947368421,,,3.0,6.5,8.5,13.0,18.0,9.0,9.0,10.5,13.0,16.5
18,1900,100,14.453068523537421,18.163972835794045,1.4766654327944733,11,11.35,12.43421052631579,,,3.5,7.0,8.5,12.5,16.5,9.0,9.0,10.5,13.0,16.5
19,2000,100,14.453068523537421,18.340250969939206,1.4197201751441046,11,11.97,13.460526315789474,,,2.0,6.5,9.5,12.5,16.0,9.0,9.0,10.5,13.0,16.5
20,2100,100,14.453068523537421,18.10314579016122,1.3758326259316873,11,12.23,12.381578947368421,,,3.5,7.0,8.5,13.0,17.0,9.0,9.0,10.5,13.0,16.5
21,2200,100,14.453068523537421,18.13263731896298,1.4808037328301902,11,11.02,10.33157894736842,,,4.0,6.5,8.5,12.5,17.5,9.0,9.0,10.5,13.0,16.5
22,2300,100,14.453068523537421,18.27002839104417,1.4454349596160527,11,11.58,13.01578947368421,,,3.5,6.0,8.5,11.5,15.5,9.0,9.0,10.5,13.0,16.5
23,2400,100,14.453068523537421,18.46231070689173,1.5682793342048318,11,13.31,12.463157894736842,,,3.0,6.0,9.0,12.0,16.0,9.0,9.0,10.5,13.0,16.5
24,2500,100,14.453068523537421,18.058709819583836,1.2987893454094785,11,11.18,10.589473684210526,,,3.0,6.5,9.0,11.5,16.0,9.0,9.0,10.5,13.0,16.5
25,2600,100,14.453068523537421,18.078755675210694,1.4812813540112157,11,12.21,13.007894736842106,,,3.5,6.5,9.0,12.5,16.0,9.0,9.0,10.5,13.0,16.5
26,2700,100,14.309243436828814,18.175295604547763,1.6674901241560403,11,10.91,11.126315789473685,,,3.0,6.5,9.0,13.0,16.0,9.5,10.0,9.0,13.5,16.0
27,2800,100,14.309243436828814,18.309417907356373,1.3601374417274619,11,12.55,11.563157894736841,,,4.0,7.0,10.0,12.5,15.5,9.5,10.0,9.0,13.5,16.0
28,2900,100,14.309243436828814,18.101135568142777,1.289477210077816,11,10.67,11.957894736842105,,,3.0,6.5,8.5,10.0,16.5,9.5,10.0,9.0,13.5,16.0
29,3000,100,14.309243436828814,18.176012268317315,1.381633055973445,11,11.78,13.036842105263158,,,4.0,6.5,9.0,13.0,15.5,9.5,10.0,9.0,13.5,16.0
30,3100,100,14.309243436828814,18.177738375140223,1.5502389674272803,11,11.9,13.092105263157896,,,3.5,6.0,9.0,13.0,15.0,9.5,10.0,9.0,13.5,16.0
31,3200,100,14.309243436828814,18.381046012590684,1.685867028641464,11,12.78,11.05,,,4.0,6.5,8.5,12.5,16.0,9.5,10.0,9.0,13.5,16.0
32,3300,100,14.309243436828814,18.27772087942701,1.294760652486649,11,10.62,10.778947368421052,,,3.5,5.5,10.0,13.0,16.0,9.5,10.0,9.0,13.5,16.0
33,3400,100,14.309243436828814,18.18284064942395,1.4337259849230122,11,11.25,13.294736842105262,,,3.0,7.0,9.0,11.0,17.0,9.5,10.0,9.0,13.5,16.0
34,3500,100,14.309243436828814,18.2495999059632,1.5115820479912863,11,11.12,10.413157894736843,,,4.0,6.5,9.5,11.0,17.5,9.5,10.0,9.0,13.5,16.0
35,3600,100,14.309243436828814,18.09787930570565,1.6107900925504628,11,10.88,12.23421052631579,,,4.0,6.0,10.0,11.5,16.5,9.5,10.0,9.0,13.5,16.0
36,3700,100,14.309243436828814,18.24952148441949,1.3546013151096978,11,11.2,12.442105263157895,,,4.0,7.0,9.5,12.5,16.0,9.5,10.0,9.0,13.5,16.0
37,3800,100,14.309243436828814,18.357778616643223,1.3806086093621013,11,11.74,11.447368421052632,,,3.0,7.0,10.5,12.5,16.0,9.5,10.0,9.0,13.5,16.0
38,3900,100,14.309243436828814,18.192014039187754,1.5062996744498953,11,11.73,12.071052631578947,,,3.0,6.0,8.5,12.5,16.5,9.5,10.0,9.0,13.5,16.0
39,4000,100,14.309243436828814,18.470949448888387,1.729688225837157,11,12.8,12.321052631578947,,,3.5,6.5,8.0,10.5,17.0,9.5,10.0,9.0,13.5,16.0
40,4100,100,14.309243436828814,18.120001479219493,1.3853231139117377,11,12.18,13.555263157894737,,,3.0,7.0,9.0,11.0,16.5,9.5,10.0,9.0,13.5,16.0
41,4200,100,14.309243436828814,18.11200946165615,1.3366065816570907,11,11.45,11.013157894736842,,,3.5,6.5,9.0,12.0,16.5,9.5,10.0,9.0,13.5,16.0
42,4300,100,14.119803902718557,18.141170763470907,1.3685616440258404,15,11.77,9.957894736842105,,,2.5,7.0,7.5,11.5,14.0,12.0,13.0,12.0,14.5,14.0
43,4400,100,14.119803902718557,18.1138849299907,1.360267224208042,15,12.08,12.634210526315789,,,4.0,6.5,8.5,12.0,17.0,12.0,13.0,12.0,14.5,14.0
44,4500,100,14.119803902718557,18.102410681226914,1.3823790568900542,15,12.14,12.73157894736842,,,3.5,6.5,9.5,12.5,17.0,12.0,13.0,12.0,14.5,14.0
45,4600,100,14.119803902718557,18.002811394011612,1.4053205521111287,15,11.23,11.968421052631578,,,3.5,6.5,9.0,12.0,16.0,12.0,13.0,12.0,14.5,14.0
46,4700,100,14.119803902718557,18.057189245211575,1.48630971087152,15,10.79,10.802631578947368,,,3.0,7.5,9.0,13.0,16.0,12.0,13.0,12.0,14.5,14.0
47,4800,100,14.119803902718557,18.135384961554234,1.3781185521199435,15,12.4,12.302631578947368,,,3.5,6.0,9.0,12.0,16.5,12.0,13.0,12.0,14.5,14.0
48,4900,100,14.119803902718557,18.224769631505414,1.4110101436771327,15,10.76,13.139473684210527,,,3.0,5.5,9.5,13.0,16.5,12.0,13.0,12.0,14.5,14.0
49,5000,100,14.119803902718557,18.30253097262854,1.479317381399825,15,11.31,11.58157894736842,,,3.5,7.0,8.5,12.0,17.0,12.0,13.0,12.0,14.5,14.0
50,5100,100,14.119803902718557,18.18363336662542,1.5095443369650328,15,12.22,11.036842105263158,,,4.0,4.5,8.5,11.5,15.5,12.0,13.0,12.0,14.5,14.0
51,5200,100,14.119803902718557,18.4014347236464,1.4528616788302264,15,11.37,12.328947368421053,,,3.0,6.5,9.5,12.5,17.0,12.0,13.0,12.0,14.5,14.0
52,5300,100,14.119803902718557,18.1869730920936,1.506617617820787,15,12.17,12.85,,,3.0,8.0,10.0,11.5,16.0,12.0,13.0,12.0,14.5,14.0
53,5400,100,14.119803902718557,18.091763548773383,1.6415340458425298,15,11.41,9.328947368421053,,,4.0,5.0,9.0,12.0,16.5,12.0,13.0,12.0,14.5,14.0
54,5500,100,14.119803902718557,18.10104602891445,1.5659007021352744,15,10.91,10.33157894736842,,,3.5,6.5,9.5,11.5,16.0,12.0,13.0,12.0,14.5,14.0
55,5600,100,14.119803902718557,18.132958992762507,1.5766993130366445,15,11.63,10.176315789473684,,,3.5,5.5,9.5,11.5,16.0,12.0,13.0,12.0,14.5,14.0
56,5700,100,14.119803902718557,17.994133067683677,1.3864483655490474,15,10.38,11.965789473684211,,,3.0,7.0,9.0,11.5,17.0,12.0,13.0,12.0,14.5,14.0
57,5800,100,14.119803902718557,18.074078734386347,1.3087074156922558,15,11.35,12.48421052631579,,,4.0,7.0,9.5,12.0,16.0,12.0,13.0,12.0,14.5,14.0
58,5900,100,14.119803902718557,18.28263848524855,1.5927331397298117,15,10.85,9.947368421052632,,,3.5,5.5,9.0,12.0,14.5,12.0,13.0,12.0,14.5,14.0
59,6000,100,14.119803902718557,18.14824732455787,1.394500171560274,15,11.01,9.852631578947369,,,3.0,6.5,8.5,12.0,16.0,12.0,13.0,12.0,14.5,14.0
60,6100,100,14.119803902718557,17.999403714919886,1.301264828045835,15,10.93,9.892105263157895,,,3.0,7.0,8.5,12.0,17.0,12.0,13.0,12.0,14.5,14.0
61,6200,100,14.119803902718557,18.108500825175504,1.572696872730876,15,11.99,11.281578947368422,,,3.5,6.5,10.0,13.0,16.5,12.0,13.0,12.0,14.5,14.0
62,6300,100,14.119803902718557,17.94015304612126,1.2868209572993061,15,10.8,10.852631578947369,,,3.5,5.5,9.0,13.0,17.0,12.0,13.0,12.0,14.5,14.0
63,6400,100,14.119803902718557,17.961937612885016,1.5748141425878943,15,10.77,12.405263157894737,,,3.0,6.0,10.0,11.5,15.0,12.0,13.0,12.0,14.5,14.0
64,6500,100,14.119803902718557,18.437833693348658,1.5342956506878078,15,11.71,12.405263157894737,,,4.0,7.5,8.5,13.0,16.0,12.0,13.0,12.0,14.5,14.0
65,6600,100,14.119803902718557,17.996965801153006,1.4056233216809273,15,11.48,9.960526315789474,,,3.5,5.5,9.0,12.0,17.0,12.0,13.0,12.0,14.5,14.0
