generation,evaluations,population_size,best_fitness,mean_fitness,std_fitness,best_size,mean_size,diversity,distinct_parents,parent_picks,closest_7,closest_11,closest_15,closest_19,closest_25,best_dist_7,best_dist_11,best_dist_15,best_dist_19,best_dist_25
0,100,100,15.024845673131658,18.30142956145619,1.5005193663749485,13,11.11,12.118421052631579,,,3.5,7.0,9.0,12.0,16.5,12.0,12.5,11.5,12.0,17.0
1,200,100,14.906659275674581,17.50934076527365,1.1335448521691258,10,9.14,8.639473684210527,61,102,3.5,7.5,8.5,12.0,17.0,9.5,9.5,10.5,12.5,17.5
2,300,100,14.4591260281974,16.98824455645698,0.8571701575183257,12,8.53,7.592105263157895,59,100,3.5,6.5,8.0,11.5,16.5,11.0,11.5,11.5,11.5,16.5
3,400,100,14.207130750570547,16.65751633582904,0.8030183572708394,11,8.82,7.731578947368421,57,100,3.5,6.0,9.5,11.0,16.0,10.0,11.0,11.0,12.5,16.0
4,500,100,13.991153452528778,16.468132990698756,0.8176455668158064,12,8.37,7.313157894736842,57,100,4.0,5.5,9.0,11.5,15.5,10.5,11.5,12.0,12.0,15.5
5,600,100,13.991153452528778,16.322626047997467,0.9122818901851438,12,8.57,7.852631578947369,59,100,4.0,6.5,8.5,11.5,15.5,10.5,11.5,12.0,12.0,15.5
6,700,100,13.36287388383278,16.003810032746458,0.771849481907568,12,8.89,6.7631578947368425,58,100,4.0,6.0,9.0,11.5,14.5,10.5,11.0,11.0,12.5,14.5
7,800,100,13.36287388383278,15.681678960605666,0.7570973299470259,12,9.1,5.7973684210526315,53,100,5.5,6.5,9.5,11.0,14.5,10.5,11.0,11.0,12.5,14.5
8,900,100,13.36287388383278,15.534702467733641,0.7773275734299726,12,9.26,6.536842105263158,55,100,4.5,7.0,9.5,11.0,14.5,10.5,11.0,11.0,12.5,14.5
9,1000,100,13.36287388383278,15.621671635924894,0.7804930507032348,12,8.76,5.673684210526316,65,100,4.5,6.0,9.0,11.5,14.5,10.5,11.0,11.0,12.5,14.5
10,1100,100,13.36287388383278,15.541990089121626,0.8393239552635514,12,8.75,6.076315789473684,59,100,4.5,7.0,9.0,11.5,14.5,10.5,11.0,11.0,12.5,14.5
11,1200,100,13.36287388383278,15.482636724385813,0.7439681104899198,12,8.83,5.7894736842105265,51,100,4.5,6.0,8.5,11.5,14.5,10.5,11.0,11.0,12.5,14.5
12,1300,100,13.36287388383278,15.479805340832431,0.7153459217623468,12,9.05,5.844736842105263,55,100,5.5,6.5,9.0,11.0,14.5,10.5,11.0,11.0,12.5,14.5
13,1400,100,13.36287388383278,15.586910012927444,0.7595788952826932,12,8.77,5.757894736842105,56,100,5.0,6.0,8.5,11.0,14.5,10.5,11.0,11.0,12.5,14.5
14,1500,100,13.36287388383278,15.536141376326002,0.7515667234395123,12,8.61,5.626315789473685,52,100,4.5,7.0,8.5,10.5,14.5,10.5,11.0,11.0,12.5,14.5
15,1600,100,13.36287388383278,15.634306902844287,0.7788403404264288,12,8.73,5.189473684210526,58,100,5.0,7.0,8.5,11.0,14.5,10.5,11.0,11.0,12.5,14.5
16,1700,100,13.36287388383278,15.678664770242857,0.8034488101021723,12,8.63,5.868421052631579,55,100,4.5,6.0,8.5,11.0,14.5,10.5,11.0,11.0,12.5,14.5
17,1800,100,13.36287388383278,15.720059304195397,0.7846389732522295,12,8.59,5.61578947368421,61,100,5.5,6.0,8.5,11.0,14.5,10.5,11.0,11.0,12.5,14.5
18,1900,100,13.36287388383278,15.707677975885693,0.8099126691091424,12,8.55,5.197368421052632,56,100,4.5,7.5,8.0,11.0,14.5,10.5,11.0,11.0,12.5,14.5
19,2000,100,13.36287388383278,15.6638542154469,0.871702583572568,12,8.51,4.7026315789473685,54,100,4.5,6.5,8.0,11.5,14.5,10.5,11.0,11.0,12.5,14.5
20,2100,100,13.36287388383278,15.651905381880907,0.8341786584743073,12,8.47,4.863157894736842,57,100,4.5,6.5,8.5,11.5,14.5,10.5,11.0,11.0,12.5,14.5
21,2200,100,13.36287388383278,15.66647147577127,0.7449799330618924,12,8.54,4.936842105263158,55,100,5.0,6.0,8.5,11.0,14.5,10.5,11.0,11.0,12.5,14.5
22,2300,100,13.36287388383278,15.663023203153669,0.764943092609518,12,8.54,5.015789473684211,58,100,5.0,6.0,8.5,11.5,14.5,10.5,11.0,11.0,12.5,14.5
23,2400,100,13.36287388383278,15.651609160936749,0.7215259415342407,12,8.33,5.336842105263158,61,100,4.5,6.0,9.0,11.5,14.5,10.5,11.0,11.0,12.5,14.5
24,2500,100,13.008304597359459,15.76710021598619,0.857850527076136,12,8.24,4.942105263157894,62,100,4.0,7.0,8.5,11.5,14.0,10.5,11.5,11.0,12.0,14.0
25,2600,100,13.008304597359459,15.947858961797852,0.8708351465181722,12,7.68,5.2026315789473685,57,100,3.5,6.0,8.5,12.0,14.0,10.5,11.5,11.0,12.0,14.0
26,2700,100,13.008304597359459,15.890039973692863,0.922727524025172,12,7.71,5.076315789473684,60,100,4.5,5.5,9.0,11.5,14.0,10.5,11.5,11.0,12.0,14.0
27,2800,100,13.008304597359459,15.880506339151328,0.9007562690539522,12,8.03,4.968421052631579,61,100,4.5,6.0,8.5,11.5,14.0,10.5,11.5,11.0,12.0,14.0
28,2900,100,13.008304597359459,15.910286013724908,0.8515733244547051,12,8.21,5.363157894736842,55,100,5.0,6.0,8.5,12.0,14.0,10.5,11.5,11.0,12.0,14.0
29,3000,100,13.008304597359459,15.888358408437748,0.9035237189593628,12,8.25,5.58421052631579,57,100,4.5,7.5,8.5,11.5,14.0,10.5,11.5,11.0,12.0,14.0
30,3100,100,13.008304597359459,15.950460770726881,0.8580558803564643,12,7.72,4.992105263157895,59,100,4.5,7.0,9.0,12.0,14.0,10.5,11.5,11.0,12.0,14.0
31,3200,100,13.008304597359459,15.826778346342328,0.8020351212223594,12,7.73,4.913157894736842,60,100,4.5,7.0,8.5,11.5,14.0,10.5,11.5,11.0,12.0,14.0
32,3300,100,13.008304597359459,15.890991678742264,0.7414692575665622,12,7.81,5.3578947368421055,59,100,4.5,7.5,8.5,12.0,14.0,10.5,11.5,11.0,12.0,14.0
33,3400,100,13.008304597359459,15.929195474799135,0.8734344472038933,12,7.7,4.878947368421053,53,100,5.0,6.5,8.5,12.0,14.0,10.5,11.5,11.0,12.0,14.0
34,3500,100,13.008304597359459,16.01013460895283,0.9241718937498712,12,7.86,5.144736842105263,60,100,4.5,6.5,9.0,12.0,14.0,10.5,11.5,11.0,12.0,14.0
35,3600,100,13.008304597359459,15.7949492787626,0.8537897622628056,12,8.28,5.65,51,100,4.0,6.5,8.5,11.5,14.0,10.5,11.5,11.0,12.0,14.0
36,3700,100,13.008304597359459,15.932870300682799,0.8052935604291015,12,7.9,5.1421052631578945,56,100,4.0,6.5,8.5,11.5,14.0,10.5,11.5,11.0,12.0,14.0
37,3800,100,13.008304597359459,15.83246436138848,0.8103384947381497,12,8.28,5.231578947368421,55,100,4.5,7.0,8.5,11.5,14.0,10.5,11.5,11.0,12.0,14.0
38,3900,100,12.86287388383278,15.729033114814575,0.8478382035427403,12,8.17,4.997368421052632,56,100,4.5,7.0,8.0,11.5,14.0,10.5,10.5,10.0,12.0,14.0
39,4000,100,12.86287388383278,15.746961805201622,0.8680911071491503,12,8.11,5.255263157894737,57,100,5.0,6.5,7.5,10.5,14.0,10.5,10.5,10.0,12.0,14.0
40,4100,100,12.86287388383278,15.693644517953025,1.019595098483684,12,8.28,5.344736842105263,62,100,4.0,7.0,8.5,9.5,14.0,10.5,10.5,10.0,12.0,14.0
41,4200,100,12.86287388383278,15.727422571029146,1.0333546762105397,12,8.13,5.265789473684211,53,100,4.5,6.5,8.5,11.5,14.0,10.5,10.5,10.0,12.0,14.0
42,4300,100,12.86287388383278,15.610962014389022,1.1055369531290085,12,8.55,5.660526315789474,54,100,4.0,7.0,8.5,11.0,14.0,10.5,10.5,10.0,12.0,14.0
43,4400,100,12.86287388383278,15.385504117818188,0.8011313062329465,12,8.81,4.723684210526316,52,100,4.0,7.0,8.5,11.0,14.0,10.5,10.5,10.0,12.0,14.0
44,4500,100,12.86287388383278,15.645937241875611,0.8705069825791228,12,8.12,4.426315789473684,58,100,4.5,7.5,9.0,11.0,14.0,10.5,10.5,10.0,12.0,14.0
45,4600,100,12.86287388383278,15.84577007965738,0.8639118339267987,12,7.81,5.11578947368421,59,100,4.5,7.5,8.5,11.5,14.0,10.5,10.5,10.0,12.0,14.0
46,4700,100,12.86287388383278,15.86183236339644,0.8918928162765318,12,7.81,5.105263157894737,57,100,4.5,6.5,8.5,11.5,14.0,10.5,10.5,10.0,12.0,14.0
47,4800,100,12.86287388383278,15.75468447453294,0.9053697443863858,12,8.13,5.436842105263158,58,100,4.5,7.5,9.0,11.5,14.0,10.5,10.5,10.0,12.0,14.0
48,4900,100,12.86287388383278,15.789181366418925,1.0638664631381791,12,8.2,5.742105263157895,62,100,4.0,7.5,8.0,11.5,14.0,10.5,10.5,10.0,12.0,14.0
49,5000,100,12.86287388383278,15.794714096956591,0.9390209646735515,12,8.24,6.005263157894737,58,100,4.0,6.0,8.5,11.0,14.0,10.5,10.5,10.0,12.0,14.0
50,5100,100,12.86287388383278,15.770890577460188,0.9070635399364071,12,8.24,5.734210526315789,57,100,4.5,6.5,8.5,12.0,14.0,10.5,10.5,10.0,12.0,14.0
51,5200,100,12.86287388383278,15.48471348921019,0.8609097388728669,12,8.96,5.594736842105263,52,100,5.0,7.0,8.5,12.0,14.0,10.5,10.5,10.0,12.0,14.0
